cell_id,x,y,feeds,last_fed,hunger,distance_from_center,is_periphery
0,7.758,8.167,10,392,86,0.5532438883530477,False
158,7.666,8.229,65,335,61,0.6526833841917522,False
164,7.696,7.886,34,337,42,0.3793597237451538,False
159,8.049,8.141,23,290,55,0.4673150971239862,False
6,7.913,7.858,21,345,43,0.20760154142009574,False
1,8.149,8.167,121,395,164,0.5106867924667728,False
165,8.166,7.808,16,340,45,0.2038062805705476,False
172,7.853,7.533,11,369,89,0.2128647457894314,False
171,7.411,7.612,38,383,147,0.6037171523155511,False
13,7.563,7.539,16,374,114,0.46862885101111584,False
7,8.324,7.755,33,388,119,0.3226248595505328,False
14,7.964,7.477,24,372,123,0.20378910667648412,False
2,8.674,8.105,383,396,80,0.7897890857691074,True
173,8.245,7.318,29,285,4,0.4268029990522562,False
166,8.588,7.612,15,354,98,0.5800532734154691,False
180,7.49,7.19,22,374,109,0.7122338099248006,True
15,8.396,7.364,46,384,123,0.4947348784955449,False
22,7.666,7.107,22,390,117,0.6649454112932862,False
8,8.746,7.632,72,349,90,0.7358691459763774,True
181,7.911,7.004,60,382,138,0.6786675180086339,True
