cell_id,x,y,feeds,last_fed,hunger,distance_from_center,is_periphery
0,7.758,8.167,14,360,46,0.9545411706154949,False
158,7.666,8.229,47,348,44,1.043351314946216,False
164,7.696,7.886,20,374,89,0.7188439096215533,False
159,8.049,8.141,15,317,89,0.8856354139260694,False
6,7.913,7.858,20,317,86,0.6160610735957917,False
1,8.149,8.167,59,361,101,0.9179658416302864,False
165,8.166,7.808,19,346,52,0.5665437021095551,False
172,7.853,7.533,13,344,115,0.3353145484466787,False
171,7.411,7.612,42,369,69,0.7239919657012773,False
13,7.563,7.539,16,361,122,0.5558681915706271,False
7,8.324,7.755,38,386,116,0.5741462238837772,False
14,7.964,7.477,27,397,153,0.23462285992630813,False
2,8.674,8.105,248,393,145,1.0594375330334496,False
173,8.245,7.318,43,393,152,0.2133122743772613,False
166,8.588,7.612,31,387,105,0.6529050822286501,False
180,7.49,7.19,32,308,74,0.5549471383834669,False
15,8.396,7.364,24,399,150,0.3711632611129517,False
22,7.666,7.107,27,272,23,0.403370259687051,False
8,8.746,7.632,54,374,113,0.7992119658763887,False
181,7.911,7.004,14,331,50,0.28305965166374386,False
160,8.902,7.906,158,399,117,1.0791031491011414,False
23,8.098,7.014,24,392,136,0.24801985081843753,False
319,7.313,6.892,9,258,10,0.8137321711718167,False
3,9.116,7.961,413,399,158,1.2858166146072316,True
174,8.656,7.102,37,385,157,0.6337650719312335,False
31,7.316,6.829,6,365,50,0.8411646488054518,False
16,8.87,7.272,19,373,89,0.8290861996197983,False
189,7.137,6.867,10,363,137,0.9839792713263827,False
167,8.98,7.386,22,398,162,0.9479594539852443,False
32,7.769,6.695,6,264,37,0.6229572107295965,False
24,8.551,6.922,19,305,9,0.609240483224811,False
182,8.323,6.798,25,397,130,0.5373021928114574,False
190,7.539,6.7,13,364,49,0.7487011996784826,False
328,7.923,6.667,18,399,101,0.6001311909907698,False
312,6.667,7.062,7,360,131,1.3876236544539005,True
306,6.371,7.403,11,311,85,1.676589683375153,True
9,9.23,7.539,48,398,165,1.2222764525261882,True
327,7.645,6.533,8,359,39,0.8238574672842378,False
161,9.362,7.73,78,399,123,1.4035935331854459,True
318,6.945,6.712,6,309,39,1.223386662670473,True
33,8.19,6.541,34,386,166,0.7297564843151443,False
191,7.98,6.484,37,377,67,0.7738144004863179,False
4,9.528,7.827,113,397,164,1.5930027138708849,True
175,9.068,6.926,61,380,144,1.078456789305905,False
183,8.735,6.632,86,395,119,0.9328196644582493,False
41,7.357,6.366,16,395,167,1.1220507147183674,False
200,7.206,6.396,10,359,117,1.1983017009084138,True
326,7.241,6.38,10,368,79,1.1859397819451032,False
17,9.23,7.014,78,331,63,1.2131795936298975,True
199,6.578,6.71,10,331,16,1.5614301926118876,True
