cell_id,x,y,feeds,last_fed,hunger,distance_from_center,is_periphery
0,7.758,8.167,20,372,132,0.9545411706154949,False
158,7.666,8.229,95,394,114,1.043351314946216,False
164,7.696,7.886,30,379,142,0.7188439096215533,False
159,8.049,8.141,21,337,109,0.8856354139260694,False
6,7.913,7.858,18,343,27,0.6160610735957917,False
1,8.149,8.167,82,389,115,0.9179658416302864,False
165,8.166,7.808,45,343,67,0.5665437021095551,False
172,7.853,7.533,24,336,98,0.3353145484466787,False
171,7.411,7.612,53,358,137,0.7239919657012773,False
13,7.563,7.539,24,369,109,0.5558681915706271,False
7,8.324,7.755,52,394,142,0.5741462238837772,False
14,7.964,7.477,44,399,83,0.23462285992630813,False
2,8.674,8.105,238,395,126,1.0594375330334496,False
173,8.245,7.318,38,397,148,0.2133122743772613,False
166,8.588,7.612,27,364,134,0.6529050822286501,False
180,7.49,7.19,21,383,94,0.5549471383834669,False
15,8.396,7.364,35,398,105,0.3711632611129517,False
22,7.666,7.107,18,372,132,0.403370259687051,False
8,8.746,7.632,47,389,148,0.7992119658763887,False
181,7.911,7.004,19,352,37,0.28305965166374386,False
160,8.902,7.906,133,399,171,1.0791031491011414,False
23,8.098,7.014,30,381,116,0.24801985081843753,False
319,7.313,6.892,16,370,102,0.8137321711718167,False
3,9.116,7.961,535,394,116,1.2858166146072316,True
174,8.656,7.102,23,396,158,0.6337650719312335,False
31,7.316,6.829,12,309,13,0.8411646488054518,False
16,8.87,7.272,32,370,78,0.8290861996197983,False
189,7.137,6.867,20,373,64,0.9839792713263827,False
167,8.98,7.386,33,387,83,0.9479594539852443,False
32,7.769,6.695,10,361,123,0.6229572107295965,False
24,8.551,6.922,31,398,132,0.609240483224811,False
182,8.323,6.798,18,383,74,0.5373021928114574,False
190,7.539,6.7,14,353,48,0.7487011996784826,False
328,7.923,6.667,9,343,60,0.6001311909907698,False
312,6.667,7.062,15,336,60,1.3876236544539005,True
306,6.371,7.403,14,328,88,1.676589683375153,True
9,9.23,7.539,95,399,135,1.2222764525261882,True
327,7.645,6.533,14,334,27,0.8238574672842378,False
161,9.362,7.73,72,397,160,1.4035935331854459,True
318,6.945,6.712,4,262,34,1.223386662670473,True
33,8.19,6.541,31,398,134,0.7297564843151443,False
191,7.98,6.484,14,371,133,0.7738144004863179,False
4,9.528,7.827,145,399,103,1.5930027138708849,True
175,9.068,6.926,70,389,84,1.078456789305905,False
183,8.735,6.632,57,390,84,0.9328196644582493,False
41,7.357,6.366,8,389,84,1.1220507147183674,False
200,7.206,6.396,8,336,95,1.1983017009084138,True
326,7.241,6.38,9,337,90,1.1859397819451032,False
17,9.23,7.014,232,393,80,1.2131795936298975,True
199,6.578,6.71,10,329,84,1.5614301926118876,True
