cell_id,x,y,feeds,last_fed,hunger,distance_from_center,is_periphery
0,7.758,8.167,21,397,159,0.5532438883530477,False
158,7.666,8.229,59,396,86,0.6526833841917522,False
164,7.696,7.886,19,289,22,0.3793597237451538,False
159,8.049,8.141,16,332,31,0.4673150971239862,False
6,7.913,7.858,12,303,5,0.20760154142009574,False
1,8.149,8.167,65,386,129,0.5106867924667728,False
165,8.166,7.808,21,340,98,0.2038062805705476,False
172,7.853,7.533,11,375,103,0.2128647457894314,False
171,7.411,7.612,41,397,124,0.6037171523155511,False
13,7.563,7.539,22,396,134,0.46862885101111584,False
7,8.324,7.755,31,372,124,0.3226248595505328,False
14,7.964,7.477,15,374,75,0.20378910667648412,False
2,8.674,8.105,253,397,171,0.7897890857691074,True
173,8.245,7.318,19,397,122,0.4268029990522562,False
166,8.588,7.612,17,337,24,0.5800532734154691,False
180,7.49,7.19,26,344,76,0.7122338099248006,True
15,8.396,7.364,49,371,94,0.4947348784955449,False
22,7.666,7.107,19,391,107,0.6649454112932862,False
8,8.746,7.632,53,380,74,0.7358691459763774,True
181,7.911,7.004,35,344,52,0.6786675180086339,True
